,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
108,5cbc698b7af152186c0cd1ab,Express,3,10,INC S.A.,Echeverría 2067,10-3-351,-34.560973,-58.452616,belgrano,AR-C,351,Echeverría 2067,Autoservicio,POINT (-58.452616 -34.560973)
109,5cbc698b7af152186c0cd1ac,Supermercados DIA,1,15,DIA Argentina S.A,Ciudad De La Paz 1984,15-1-407,-34.5637332,-58.4567305,belgrano,AR-C,407,407 - Belgrano,Autoservicio,POINT (-58.4567305 -34.5637332)
110,5cbc698b7af152186c0cd1ad,Supermercados DIA,1,15,DIA Argentina S.A,Av Nazca 4044,15-1-316,-34.5911227,-58.4978318,agronomia,AR-C,316,316 - Agronomia,Autoservicio,POINT (-58.4978318 -34.5911227)
111,5cbc698b7af152186c0cd1ae,Supermercados DIA,1,15,DIA Argentina S.A,Cl Montaã±Eses 2014,15-1-294,-34.5582289,-58.4482183,belgrano,AR-C,294,294 - Belgrano,Autoservicio,POINT (-58.4482183 -34.5582289)
112,5cbc698b7af152186c0cd1af,DEHEZA S.A.I.C.F. e I.,1,3,Deheza S.A.I.C.F. e I.,Av. Lincoln 3999,3-1-36,-34.599622,-58.5103,villa devoto,AR-C,36,LINCOLN Y NUEVA YORK,Autoservicio,POINT (-58.5103 -34.599622)
113,5cbc698b7af152186c0cd1b0,Disco,2,9,Jumbo Retail Argentina S.A.,Sucre Mrcal Antonio Jose De 1836,9-2-12,-34.5609,-58.452,belgrano,AR-C,12,Sucre.,Supermercado,POINT (-58.452 -34.5609)
114,5cbc698b7af152186c0cd1b1,Supermercados DIA,1,15,DIA Argentina S.A,Cl Alvarez Thomas 2423,15-1-479,-34.5768964,-58.475887,villa urquiza,AR-C,479,479 - Villa Urquiza,Autoservicio,POINT (-58.475887 -34.5768964)
115,5cbc698b7af152186c0cd1b2,Express,3,10,INC S.A.,Chivilicoy 3840,10-3-310,-34.600568,-58.511327,villa devoto,AR-C,310,Chivilicoy 3840,Autoservicio,POINT (-58.511327 -34.600568)
116,5cbc698b7af152186c0cd1b3,Express,3,10,INC S.A.,Echeverría 1420,10-3-592,-34.557057,-58.445842,belgrano,AR-C,592,Echeverría 1420,Autoservicio,POINT (-58.445842 -34.557057)
117,5cbc698b7af152186c0cd1b4,FULL,1,19,Operadora de Estaciones de Servicios S.A.,Av. Figueroa Alcorta 6608 6608,19-1-00818,-34.5515,-58.43738,belgrano,AR-C,818,ECHEVERRIA,Autoservicio,POINT (-58.43738 -34.5515)
118,5cbc698b7af152186c0cd1b5,Supermercados DIA,1,15,DIA Argentina S.A,Av Lope De Vega 3472,15-1-410,-34.6119685,-58.5279779,villa real,AR-C,410,410 - Villa Devoto,Autoservicio,POINT (-58.5279779 -34.6119685)
119,5cbc698b7af152186c0cd1b6,Express,3,10,INC S.A.,Sucre 2774,10-3-671,-34.565978,-58.45841,belgrano,AR-C,671,Sucre 2774,Autoservicio,POINT (-58.45841 -34.565978)
120,5cbc698b7af152186c0cd1b7,Express,3,10,INC S.A.,Sucre 2480,10-3-320,-34.564492,-58.455869,belgrano,AR-C,320,Sucre 2480,Autoservicio,POINT (-58.455869 -34.564492)
